Headlines,Time,Description
"Charts show the S&P 500 could be due for a correction, Jim Cramer says"," 8:50  PM ET Tue, 16 July 2019","""The charts, as interpreted by Carley Garner, suggest that the upside in the stock market has gotten more limited,"" Jim Cramer says."
Cramer Remix: Now is your chance to buy into this miraculous turnaround story," 8:37  PM ET Tue, 16 July 2019","Jim Cramer explains why he thinks now is the time to invest in Dine Brands, even as the parent company of IHOP and Applebee's faces tougher year-over-year comparisons."
Cramer's lightning round: Trust this CEO who has the 'Midas touch'," 7:24  PM ET Tue, 16 July 2019",Jim Cramer takes calls and delivers thoughts about viewers' favorite stock picks of the day.
Cramer explains how the Fed is creating buying opportunities," 7:53  PM ET Tue, 16 July 2019","""When you have a Fed chief who's hellbent on cutting interest rates … then you should own stocks that benefit from lower rates,"" Jim Cramer says."
,,
"Domino's CEO says investors are subsidizing third-party delivery, and it's hurting Domino's growth"," 7:57  PM ET Tue, 16 July 2019",Domino's CEO Ritch Allison questions the long-term sustainability of third-party delivery apps that he says is putting short-term pressure on the company.
Cramer Remix: What to make of the inverted yield curve this earnings season," 9:04  PM ET Mon, 15 July 2019",Jim Cramer discusses the inverted yield curve and Fed Chair Jerome Powell's response.
Cramer's lightning round: 'This is the No. 1 5G name',"11:23  AM ET Tue, 16 July 2019",Jim Cramer takes calls and delivers thoughts on viewers' stock picks in rapid speed.
Jim Cramer reviews 6 stocks that 'have been anointed by Wall Street' amid an economic slowdown," 7:16  PM ET Mon, 15 July 2019","""They'll be the second-half winners that the big money guys just can't get enough of,"" Jim Cramer says."
Cramer's guide to earnings season: Don't try to outsmart the system — it's 'always rough'," 8:15  PM ET Mon, 15 July 2019","""The important thing is that you shouldn't try to hit homeruns this week, because you're much more likely to end up striking out,"" Jim Cramer says."
"Tech stocks led the S&P 500 from 2,000 to 3,000. The sector may still have far to run"," 1:10  AM ET Fri, 12 July 2019","Stellar performance from technology stocks led the S&P 500's run from 2,000 to 3,000, but the sector's phenomenal growth may still have some gas in the tank."
Why tech stocks could continue to see huge growth,"11:05  PM ET Thu, 11 July 2019","Tony Nash of Complete Intelligence says some technology firms are seeing ""real sustainable gains,"" not just on growth but on productivity and efficiency as well."
Cramer Remix: The stamp of approval to start buying FedEx," 3:36  AM ET Fri, 12 July 2019",Jim Cramer breaks down why the stock's rally on disappointing news could indicate a bottom.
"There has been a paradigm shift in the weed industry, Jim Cramer says"," 6:37  PM ET Fri, 12 July 2019","""As the weak hands exit the cannabis space, investors are starting to care about the actual results,"" the ""Mad Money"" host says."
"Cramer's lightning round: People doubted this stock, but they're wrong"," 7:38  PM ET Thu, 11 July 2019",Jim Cramer takes calls and delivers answers to callers' stock picks of the day in rapid speed.
Tellurian chairman: The Permian Basin is the 'swing producer in the world'," 7:44  PM ET Thu, 11 July 2019","""What happens in America matters more than what happens at OPEC,"" Tellurian Chairman Charif Souki says."
"Jim Cramer introduces 'WATCH,' his top 5 retailers with scale"," 7:40  PM ET Thu, 11 July 2019","""As an investor, you need recognize which businesses can scale because those are the ones that win,"" Jim Cramer says."
Cramer Remix: Levi's quarter flashed a warning sign," 8:48  PM ET Wed, 10 July 2019",Jim Cramer breaks down Levi's earnings report and what it could mean for apparel companies going forward.
Cramer's lightning round: Pick the best of breed over this spec stock," 7:08  PM ET Wed, 10 July 2019",Jim Cramer takes calls and delivers his thoughts on viewers' stock picks of the day.
,,
"The 2019 IPOs will have a correction 'sooner or later,' Jim Cramer warns"," 7:34  PM ET Wed, 10 July 2019","Jim Cramer breaks down how investors ""can view the sell-off as a buying opportunity, not a calamity."""
Jim Cramer gives 5 reasons why Wednesday's rally wasn't an 'engineered' bubble," 8:47  PM ET Wed, 10 July 2019","The ""Mad Money"" host dispelled the idea that the Federal Reserve ""engineered"" stocks to rally and the S&P 500's climb above 3,000."
"S&P 500 crosses 3,000 for the first time after Powell signals rate cut","10:10  AM ET Wed, 10 July 2019","The S&P 500 crosses 3,000 for the first time as Fed chair Jay Powell signals a rate cut for July. CNBC's Jim Cramer, David Faber and Carl Quintanilla discuss."
"Cramer Remix: Look out Amazon, this company could win in the battle for beauty"," 7:50  PM ET Tue,  9 July 2019",Jim Cramer reveals how Ulta could come out ahead of Amazon in the beauty sector.
Cramer's lightning round: 'Bank of America is incredibly cheap'," 7:01  PM ET Tue,  9 July 2019",Jim Cramer hears from viewers about their stock picks and gives his thoughts about whether to buy or sell in rapid speed.
Cramer: We have 'real reason to be worried' about the global economy,"11:42  AM ET Wed, 10 July 2019","The weak forecast from BASF ""suggests that the global economy might be in rougher shape than that employment number might indicate,"" Jim Cramer says."
,,
Cramer: Four stocks are putting up a fight against Amazon in retail," 7:32  PM ET Tue,  9 July 2019","""In a retail environment dominated by a handful of players ... there are smaller operators that we have found ways to like and win with,"" Jim Cramer says."
CEO Ginni Rometty: Red Hat's open-source software 'is a play that helps all of IBM'," 7:25  PM ET Tue,  9 July 2019","IBM will unlock growth by expanding its new Red Hat subsidiary services across the globe, CEO Ginni Rometty tells Jim Cramer."
Cramer Remix: Why to own individual retail stocks over the sector ETF," 8:06  PM ET Mon,  8 July 2019","""I'd rather own the best than a mix of the best, the mediocre, and the worst,"" Jim Cramer says."
Cramer's lightning round: We're going to bet on GE and CEO Larry Culp," 7:10  PM ET Mon,  8 July 2019",Jim Cramer takes calls from viewers and gives his thoughts about their stock picks in rapid speed.
"Symantec acquisition would give Broadcom a 'potent combination,' Jim Cramer says"," 7:50  PM ET Mon,  8 July 2019","""If [interim Symantec CEO] Rick Hill can set off a bidding war, that would be the cherry on top,"" Jim Cramer says."
Forget the Fed — Cramer explains what to look for this earnings season," 7:25  PM ET Mon,  8 July 2019","""Thanks to the endless and sometimes pointless guessing game on Wall Street, you get a sweet deal on all sorts of terrific stocks,"" Jim Cramer says."
"Constellation Brands CEO reveals why Bruce Linton, founder of pot stock Canopy, was fired"," 9:45  AM ET Tue,  9 July 2019","Constellation Brands CEO Bill Newlands tells Jim Cramer ""our board was uniform"" about removing Bruce Linton as CEO of Canopy Growth."
Cramer Remix: A warm welcome for the latest fintech play," 8:05  PM ET Tue,  2 July 2019",Jim Cramer reveals a surprising fintech play that could be worth considering.
Cramer reveals winners and losers in Trump's Huawei blacklist reversal," 7:56  PM ET Tue,  2 July 2019","""If you're making components for telco infrastructure, I think you got a pretty big problem,"" the ""Mad Money"" host says."
One signal shows the S&P 500 and Apple can surge double digits: Cramer," 7:54  PM ET Tue,  2 July 2019","Chart action suggests the market could pull back later this week, but analyst Carolyn Boroden is bullish about long-term prospects, Cramer says."
"Cramer: Tech stocks are overvalued, but 'it's not like we've gone crazy'"," 7:52  PM ET Tue,  2 July 2019","""After a big run, you always hear that there are just too many bulls, too much excitement, too much optimism,"" but Jim Cramer's not buying it."
Cramer Remix: I'd downgrade 100 stocks before ditching Lululemon," 7:52  PM ET Mon,  1 July 2019",Jim Cramer reveals why he's a fan of Lululemon's stock.
Cramer's lightning round: Why own Intel when you can own AMD?," 7:18  PM ET Mon,  1 July 2019",Jim Cramer takes calls and delivers answers to viewer stock picks in rapid speed.
S&P hits record high after US–China trade truce—5 experts weigh in on what's next for markets," 8:52  AM ET Tue,  2 July 2019",U.S. stocks rose after President Trump met with Chinese President Xi at the G-20 summit. Five experts discuss what this means for the second half of the year.
,,
Jim Cramer breaks down The RealReal's IPO and explains the right time pull the trigger," 7:21  PM ET Mon,  1 July 2019","""At a time when the department stores are being eaten alive, The RealReal could be poised to make a killing,"" Jim Cramer says."
The halfway mark: Cramer maps where the top S&P and Dow stocks are headed," 7:20  PM ET Mon,  1 July 2019","""When I look at the top five best performers in the Dow and the S&P, I see a good group of stocks, most of which have more room to run,"" Jim Cramer says."
Jim Cramer on how skeptical investors keep carrying the bull market higher," 7:19  PM ET Mon,  1 July 2019","""Bull markets thrive on disbelief. The moment everyone believes in the bull, well the rally's over, because then there's no one left to buy,"" he says."
Cramer: Dell's stock is 'ridiculously cheap' despite being 'shackled' by investors on China fears," 6:14  PM ET Fri, 21 June 2019","""Between Dell's China exposure, and a possible slowdown in their server business driven by a weaker economy, the stock can't seem to get much traction,"" the ""Mad Money"" host says."
"Cramer: Between G-20, jobs report and Fed forecasts, 'I am taking a cautious stand next week'"," 6:01  PM ET Fri, 21 June 2019","""Remember, [Powell] didn't commit to cutting rates next month, he just said he's monitoring the situation,"" the ""Mad Money"" host says."
This could be 'the next shoe to drop' with stocks at all-time highs," 9:33  AM ET Fri, 21 June 2019","Now that the S&P 500 hit a new all-time intraday high, experts are wondering what comes next."
,,
Cramer Remix: I think this pharma distributor is a house of pain," 8:20  PM ET Thu, 20 June 2019",Jim Cramer explains that the uncertainty surrounding health care makes an investment in McKesson risky business.
Cramer's lightning round: Lockheed Martin is the one you have to own," 7:49  PM ET Thu, 20 June 2019",Jim Cramer zips through his lighting round in front of a live-studio audience.
MongoDB CEO explains where the company has an edge over database giant Oracle," 7:39  PM ET Thu, 20 June 2019","We have a much more modern data platform that people want to build modern applications on, CEO Dev Ittycheria says."
Caterpillar CEO on China trade war fears: We're 'still meeting our forecast'," 8:02  PM ET Thu, 20 June 2019","""We've seen this before, we've been through it, we'll manage our way through this situation,"" CEO Jim Umpleby says."
Cramer: How to play the top Dow stocks ahead of China trade talks," 7:36  PM ET Thu, 20 June 2019","Jim Cramer says ""you'll want to keep some powder dry so you can buy into weakness and get some real bargains."""
Cramer Remix: Adobe is the way to play the 'golden age of creativity'," 7:49  PM ET Wed, 19 June 2019",Jim Cramer recaps Adobe's latest conference call to explain how the company is upending the retail industry.
Cramer's lightning round: Signet Jewelers is still in the 'penalty box'," 7:05  PM ET Wed, 19 June 2019",Jim Cramer hears from viewers and gives his thoughts about their stock picks.
Cramer: Slack could go on a run when it debuts — stay disciplined about the stock," 3:34  PM ET Tue, 16 July 2019","""This is a great story, but we need to stay disciplined,"" Jim Cramer says."
"Cramer: The Fed pleased investors, but there's 'no escaping' the wrath of this White House"," 7:07  PM ET Wed, 19 June 2019","Investors need to be cautious because the economy will get hurt the longer the trade war drags on, Jim Cramer says."
Cramer Remix: Libra is a 'genuinely positive thing' for Facebook,"12:02  PM ET Wed, 19 June 2019",Jim Cramer breaks down Facebook's new cryptocurrency initiative and its potential impact on the stock.
Cramer's lightning round: I think you should buy shares of Spotify," 7:34  PM ET Tue, 18 June 2019",Jim Cramer takes calls and delivers his thoughts about callers' stock picks of the day.
"Starbucks and Dunkin' are 'defying the bears' — buy on a dip, Jim Cramer says"," 7:35  PM ET Tue, 18 June 2019","""If either stock gets brought down for whatever reason ... you have my blessing to start buying,"" Jim Cramer says."
"Tariffs hurt the economy, but China must be held accountable, Union Pacific CEO says"," 7:39  PM ET Tue, 18 June 2019","Union Pacific CEO Lance Fritz tells Jim Cramer that he is optimistic about trade relations with China, Mexico, Japan, and the EU."
Don't be too optimistic that trade talks will progress at G-20: Cramer," 1:16  PM ET Wed, 19 June 2019","""I do expect our stock market to be hammered if nothing positive comes of this G-20 meeting,"" Jim Cramer says."
,,
Cramer Remix: What I'm expecting from the Fed on Wednesday," 9:32  PM ET Mon, 17 June 2019",Jim Cramer lays out what he anticipates from Jay Powell ahead of Wednesday's Fed meeting and what it could mean for the market.
"'The rally could last a lot longer than most people expect,' Jim Cramer says"," 7:59  PM ET Mon, 17 June 2019","""They're fun. They're companies you know or can learn about,"" he said, ""and you can happily buy them into weakness if you've done the homework and you believe in their prospects."""
IFF CEO on the impacts of Brexit and China tariffs on business," 8:00  PM ET Mon, 17 June 2019","""So we have planned for Brexit. I think we have plan A, B and C, and you need all these plans — I can tell you,"" CEO Andreas Fibig says."
Jim Cramer shuffles his 'Humanization of Pets ETF' — 'It's paid off in 2019'," 8:01  PM ET Mon, 17 June 2019","""The humanization of pets has been a fabulous secular growth story — one that's really paid off in 2019,"" Cramer says."
The Shanghai index is making a 'major turnabout': Daryl Guppy," 3:57  AM ET Mon, 17 June 2019","Daryl Guppy of Guppytraders.com analyzes the charts for markets including the Hang Seng index, Nasdaq and S&P 500. He says the Hong Kong market is not concerned about the recent protests apart from the ""inconvenience of disruption."""
Cramer Remix: I don't like this stock because of its exposure to US malls," 7:52  PM ET Fri, 14 June 2019","Foot Locker had ""a miserable conference call and a not-great last quarter,"" CNBC's Jim Cramer says."
,,
Cramer's lightning round: Resmed had a hiccup. That was a chance to buy," 7:19  PM ET Fri, 14 June 2019",Jim Cramer takes calls and delivers answers to caller questions about their favorite stock picks of the day.
Furniture retailer RH: China tariffs are just 'short-term noise'," 7:31  PM ET Fri, 14 June 2019","""Being overly reactive and moving sourcing around in product categories like ours can present massively more risk,"" RH CEO Gary Friedman says."
Jim Cramer: Put Chewy on the shopping list and buy it on a pullback," 7:30  PM ET Fri, 14 June 2019","""Even after today's magnificent run, Chewy isn't all that expensive. The company's got a great growth story and they have legions of loyal customers,"" Jim Cramer says."
Cramer on the week ahead: Watch for Fed signals and Trump's Twitter," 7:34  PM ET Fri, 14 June 2019","""The most important thing to watch next week is Twitter — we're watching for a president who slags China regularly,"" Jim Cramer says."
Cramer Remix: Thermo Fisher and Danaher are in a sweet spot to buy," 7:49  PM ET Thu, 13 June 2019","The bull is raging in the life science space, and Jim Cramer breaks down why these two stocks could have even more room to run."
Dexcom CEO teases a diabetes collaboration with Apple Watch," 7:42  PM ET Thu, 13 June 2019","Dexcom CEO Kevin Sayer also says its partnership with an Alphabet subsidiary will be produce a more advanced device ""for the ages."""
Cramer's lightning round: Ball is in a duopoly. It's a 'total windfall'," 7:59  PM ET Thu, 13 June 2019",Jim Cramer takes calls and delivers answers on callers' stock picks of the day in rapid speed.
Cramer: Shares of Michael Kors' parent company are cheap — go with the bulls," 7:41  PM ET Thu, 13 June 2019","The Michael Kors parent held an analyst meeting earlier this week in which management laid out its growth plans, but it yielded conflicting opinions from the community."
Jim Cramer reviews which retail stocks are working and which you should stay away from," 7:36  PM ET Thu, 13 June 2019","""There's a market for high-end luxury goods and low-end mass market merchandise, but right now there's not much space in between,"" the ""Mad Money"" host says."
Cramer Remix: Put new IPO Revolve on your shopping list," 8:13  PM ET Wed, 12 June 2019",Jim Cramer breaks down Revolve's recent IPO and urges investors to wait for a pullback before getting in on the stock.
Cramer's lightning round: This stock is just too cheap. You should buy," 7:39  PM ET Wed, 12 June 2019",Jim Cramer takes calls and gives his thoughts about viewers' favorite stock picks of the day.
Leading mortgage lender Quicken Loans sees record loan volumes," 7:48  PM ET Wed, 12 June 2019","""We're having record months. This quarter will be the largest quarter in the company's history,"" Quicken Loans CEO Jay Farner says."
"Cramer: Hershey's turnaround came at the right time, and sent the stock surging 28%"," 7:47  PM ET Wed, 12 June 2019","""I salute CEO Michele Buck for masterminding this tremendous turnaround ... but wait for a pullback,"" Jim Cramer says."
Cramer: Here's how to spot the market bottom and maximize returns in your portfolio," 7:45  PM ET Wed, 12 June 2019","""You typically don't get a real bottom until the estimate cuts have been made, the stocks been softened up, and the clueless hot money has abandoned it,"" Jim Cramer says."
,,
Cramer Remix: These stocks should be bought in this environment," 7:50  PM ET Tue, 11 June 2019",Jim Cramer reveals why blue chip stocks like Walmart and Proctor and Gamble may work best in this market.
Cramer's lightning round: Yeti is 'undervalued' and a 'long-time hold'," 7:02  PM ET Tue, 11 June 2019",Jim Cramer listens to callers and delivers his thoughts on their stock picks of the day in rapid speed.
"The charts warn that stocks are due for a pullback, Jim Cramer says"," 7:18  PM ET Tue, 11 June 2019","Because the Volatility Index has not gone lower, ""you need to be careful when you see the averages rallying like this morning,"" Jim Cramer says."
Tableau CEO breaks down how the company will operate within Salesforce," 7:17  PM ET Tue, 11 June 2019","""Our engineers can't wait to pop the hood on those and check out what things that we might use on behalf of our customers,"" CEO Adam Selipsky says."
"Cramer: 'The bull is fatigued,' froth is easing up and the market is ready to recharge"," 7:16  PM ET Tue, 11 June 2019","""We've had a colossal rally. After this kind of run, the bull is fatigued,"" the ""Mad Money"" host says."
"The S&P 500 could fall to the 2,600 area, says strategist"," 5:00  AM ET Tue, 11 June 2019","Shyam Devani of Citi discusses the timing of a possible Fed rate cut. He also says, if the S&P 500 falls to 2,600, it will be something the Federal Reserve can't ignore."
,,
Cramer Remix: The June Swoon talk is useless," 7:54  PM ET Mon, 10 June 2019",Jim Cramer breaks down the old market adage and explains why the market is signaling something different.
Cramer's lightning round: Don't buy Roku here — it's due for pullback," 7:30  PM ET Mon, 10 June 2019",Jim Cramer listens to callers and gives his thoughts about their stock picks of the day in rapid speed.
Salesforce's Marc Benioff defends Tableau deal: They 'didn't want our cash'," 7:22  PM ET Mon, 10 June 2019","""Tableau didn't want our cash — they wanted our equity, because they know that the real value here is in the company that we're creating together,"" Benioff tells Jim Cramer in an interview."
Cramer: Beware of froth — 'it may be too late to put new money to work'," 7:19  PM ET Mon, 10 June 2019","""When you see people crowding into stocks just because they're going up, it's what I call a bad sign,"" Jim Cramer says."
Cramer Remix: I don't like the fossil fuel stocks," 8:01  PM ET Fri,  7 June 2019",Jim Cramer breaks down his feelings on the oil and gas space.
Cramer's lightning round: Tesla is just 'too darn hard' to recommend," 7:42  PM ET Fri,  7 June 2019",Jim Cramer takes calls and delivers his thoughts on callers' stock picks of the day.
Cramer gives 'two cheers' to Zoom and Beyond Meat," 6:44  PM ET Tue, 30 July 2019",The newly-public companies saw their stocks rally by double-digits after beating Wall Street expectations in their first earnings reports since their recent IPOs.
Cramer ranks his top 7 video streaming services," 6:59  PM ET Fri,  7 June 2019","""With so many media companies launching their own subscription streaming services, we need to start thinking about winners and losers here,"" the ""Mad Money"" host says."
Cramer's week ahead: The market can go higher if Trump makes trade progress with Mexico," 6:58  PM ET Fri,  7 June 2019","""I bet this market can go higher still as long as the President works out something with Mexico over the weekend,"" Jim Cramer says."
"Salesforce CEO supports probing big tech, says tech must 'get the values straight'"," 4:17  PM ET Fri,  7 June 2019","""We are at a point in our industry where enough is enough,"" Marc Benioff says. We must ""get the values straight with these tech companies."""
Art Cashin: Markets expect Trump's Mexico tariff to last only about a week,"10:24  AM ET Thu,  6 June 2019","""The market is almost willing to tolerate it being imposed, but it will not tolerate it if it lasts,"" says UBS' Cashin."
Cramer Remix: Estee Lauder is the only company doing 'fine' in China,"11:09  AM ET Thu,  6 June 2019","Jim Cramer reveals how Estee Lauder is finding success worldwide, even as retail slows down."
"Cramer's lightning round: Moderna is speculative, but I like them"," 7:16  PM ET Wed,  5 June 2019",Jim Cramer takes calls and delivers answers to viewers' stock picks of the day.
Cramer breaks down why FleetCor is a 'terrific' buy-and-hold fintech play," 7:21  PM ET Wed,  5 June 2019","""FleetCor has a superb long-term story, and the fintech stocks are very hot,"" the ""Mad Money"" host says."
,,
"Investors are betting a recession is coming, Jim Cramer says"," 7:20  PM ET Wed,  5 June 2019","""[Defensive stocks] can do just fine during a slowdown,"" the ""Mad Money"" host says."
"It's not time for the Fed to cut yet, says Citi strategist"," 3:31  AM ET Wed,  5 June 2019","Ken Peng of Citi Private Bank says, with the S&P 500 only around 6% below its all-time peak, it's not yet time for the Fed to cut rates or for U.S. President Donald Trump to turn more friendly on trade."
"'Exploit the volatility' in the markets, says Wells Fargo"," 1:50  AM ET Wed,  5 June 2019","Given the ongoing trade disputes, the U.S. market is likely to be range bound for a while, says Kirk Hartman of Wells Fargo Asset Management. He also discusses which stocks investors could consider buying."
Cramer Remix: Why big tech stocks are out of luck here,"11:27  PM ET Tue,  4 June 2019",Jim Cramer explains why woes could worsen for four tech titans.
Cramer's lightning round: I should've gotten behind this stock when it was lower," 7:29  PM ET Tue,  4 June 2019",Jim Cramer takes calls and delivers his responses in rapid speed to viewers' stock picks of the day.
Salesforce's Benioff: 'Massive' digital transformation is driving our growth," 9:54  AM ET Wed,  5 June 2019","The digital customer transformation ""is as big as Y2K was for the tech industry,"" CEO Marc Benioff says."
,,
Chipotle CFO shrugs off potential $15 million hit from Mexican tariffs — This 'won't impact us'," 7:33  PM ET Tue,  4 June 2019","""[The tariffs] is an impact of about $15 million this year, a little bit more next year,"" CFO Jack Hartung says."
"'Don't get overconfident' after Tuesday's big rally, Jim Cramer says"," 7:32  PM ET Tue,  4 June 2019","""Remember, good things can still happen, but don't get overconfident, because bad things can happen, too,"" Jim Cramer says."
Tesla just finished its best day of the year," 6:05  PM ET Tue,  4 June 2019","Tesla is still the worst performer of 2019 on the Nasdaq 100 Index, down 42% for the year."
Cramer Remix: Put VF Corp on your shopping list," 8:20  PM ET Mon,  3 June 2019",Jim Cramer breaks down VF Corp's performance over the last year and reveals the stock will be a more compelling buy towards the end of the summer.
Cramer's lightning round: 'Wendy's is one of my absolute favorites'," 8:24  PM ET Mon,  3 June 2019",Jim Cramer takes calls and delivers his thoughts on callers' stock picks of the day.
Wingstop CEO says digital technology gives the chicken wing chain an edge over competitors," 7:39  PM ET Mon,  3 June 2019","A digital transaction tends to have almost a $5 higher average ticket, which means better return on investment, CEO Charles Morrison says."
"Brinks CEO: $160 billion cannabis industry, much of it still illegal, is a 'beautiful opportunity'"," 7:38  PM ET Mon,  3 June 2019","Cannabis is going to be a booming global industry ... ""there's a huge opportunity and demand out there,"" Brinks CEO Douglas Pertz says."
"Cramer: Trump's going after business, and that's bad for stocks"," 7:36  PM ET Mon,  3 June 2019","""The president's whims have trumped his pro-business attitude ... [and] investors are going to pay less"" for stocks, Jim Cramer says."
Cramer Remix: Presume Trump will go through with tariffs on Mexico," 8:00  PM ET Fri, 31 May 2019",Jim Cramer warns CEOs to prepare their companies for a hit after President Trump's latest call for tariffs.
Cramer's lightning round: Aramark is in the 'penalty box'," 7:44  PM ET Fri, 31 May 2019",Jim Cramer takes calls and delivers answers on callers' questions about their stock picks of the day.
"IBM CEO: AI-driven jobs are coming, and businesses need to prepare a new generation of workers"," 7:17  PM ET Fri, 31 May 2019","""We build these technologies so I think we have a responsibility … to prepare society for these technologies,"" CEO Ginni Rometty says."
"Okta CEO says cloud company has a 'close eye' on tariffs, but for now exposure is minimal"," 7:11  PM ET Fri, 31 May 2019","""We do think about powering business globally, so it's in everyone's interest I think to have as much free trade — as much economic commerce — as possible,"" Todd McKinnon says."
Cramer's week ahead: Only game-changing data can counter Trump's surprise tariffs on Mexico," 7:09  PM ET Fri, 31 May 2019","""In an era where all that matters is who's next for punishment, we need to be very cautious,"" Jim Cramer says."
Cramer Remix: Spotting stocks that will rise from the retail wreckage," 8:36  PM ET Thu, 30 May 2019",Jim Cramer explains how to find retail stories that work in a difficult environment.
,,
Pioneer CEO says the natural gas company avoided a downturn in prices by shipping out to California," 8:01  PM ET Thu, 30 May 2019","""Pioneer has taken our gas to California, so we're not seeing any of the negative prices,"" Pioneer Natural Resources CEO Scott Sheffield says."
Canopy expects to see the next cannabis breakthrough in 24 months," 8:04  PM ET Thu, 30 May 2019","""That's just enough time to use all of our IP and brands to really get ahead,"" Canopy Growth CEO Bruce Linton says about its acquisition of Acreage."
Not sure if a stock is worth buying at current levels? Follow Jim Cramer's checklist," 7:59  PM ET Thu, 30 May 2019","""Money managers are desperate to avoid owning companies that could be facing estimate cuts, and this checklist is what protects them,"" Jim Cramer says."
Cramer Remix: I think this is a great spec play that could get acquired," 8:21  PM ET Wed, 29 May 2019",Jim Cramer explains that bluebird bio's technology offerings make it attractive for a potential takeover.
Cramer's lightning round: We sold Anadarko. It's time to move on," 8:16  PM ET Wed, 29 May 2019",Jim Cramer talks with viewers and gives his thoughts about their stock picks of the day.
"Agco CEO: We're focused on improving our margins, not on China"," 7:06  PM ET Wed, 29 May 2019","Agco, an agricultural equipment manufacturer based in Georgia, upped its full-year earnings guidance by almost 30 cents."
,,
"Jim Cramer: It's time to start buying amid market weakness, but take it slow"," 6:57  PM ET Wed, 29 May 2019","""Now that people are really freaking out ... I think it's time to start picking up stocks into weakness,"" Jim Cramer says."
Cramer Remix: Competition can't take on this payment juggernaut," 8:49  PM ET Tue, 28 May 2019",Jim Cramer breaks down how consolidation in the fintech space still can't overcome PayPal's dominance.
"Cramer: Betting on the Fed to cut interest rates is 'very risky,' charts show"," 7:00  PM ET Tue, 28 May 2019",Jim Cramer takes a look at chart analysis by DeCarley Trading's Carley Garner to determine if there is a buying opportunity in the future.
Cramer: The US economy 'could be on the verge of a significant slowdown'," 7:36  PM ET Tue, 28 May 2019","With consumer and corporate confidence waning, the economy could slowdown ""if something doesn't change soon,"" Jim Cramer says."
"Mondelez isn't feeling the heat from global consumer worries, CEO says"," 7:46  PM ET Tue, 28 May 2019",Mondelez International CEO Dirk Van de Put explains how changing consumer habits are boosting the Oreo-maker's sales.
Cramer Remix: Why Chipotle's downgrade is misguided," 8:16  PM ET Thu, 23 May 2019",Jim Cramer explains why worries at the restaurant chain may be off-base.
"Cramer: The bad trade news is partially baked in, but the sell-off isn't over"," 6:59  PM ET Thu, 23 May 2019","""We still haven't seen the big estimate cuts that we can expect from the analysts who weren't expecting President Trump to keep raising tariffs,"" Jim Cramer says."
The 5G rollout has cell tower stocks in 'raging bull market mode': Cramer," 7:26  PM ET Thu, 23 May 2019","""Once you build a tower, you can just add another antenna to it when you pick up a new client, so the margins are terrific,"" he says."
Cramer: Investors are holding out hope for a trade deal — that's why the market hasn't bottomed yet," 7:24  PM ET Thu, 23 May 2019","Sentiment is ""not negative enough to trigger a huge rally ... unless we get some kind of real breakthrough with China,"" Jim Cramer says."
"Cramer Remix: Owning Apple may get rocky, so hold on tight"," 8:05  PM ET Wed, 22 May 2019","Jim Cramer reiterates that investors should own Apple, not trade it, but cautions that the stock could be hurt by trade tensions."
"Cramer: Retailers, chipmakers and autos are feeling the pain of China exposure"," 7:38  PM ET Wed, 22 May 2019","""I just want you to know what you own so you're not surprised when this pattern continues,"" Jim Cramer says."
Cramer: Target's Q1 shows it has a recipe to beat Amazon and win in retail," 8:06  PM ET Wed, 22 May 2019","""Target's gutsy decision to make its stores the centerpiece of its fulfillment system has turned out to be a brilliant move,"" Jim Cramer says."
Idexx Labs is counting on millennials to boost the pet-care industry," 7:39  PM ET Wed, 22 May 2019","""[Millennials] are more likely to go to the vet more frequently and more willing to listen to an advanced standard of care,"" Jonathan Ayers says."
Cramer Remix: The cannabis stocks I'm eyeing,"12:57  PM ET Wed, 22 May 2019",Jim Cramer turns to the charts to reveal that cannabis companies like GW Pharmaceuticals and Village Farms could be good additions to your portfolio.
,,
Cramer's lightning round: McDonald's is 'one of the greatest stocks of our time'," 7:06  PM ET Tue, 21 May 2019","Jim Cramer takes calls and gives his thoughts on McDonald's, Nektar Technologies, L Brands, and more."
Cramer: Stay away from this 'forbidden city of stocks'," 6:58  PM ET Tue, 21 May 2019",Jim Cramer says there's a shortage of buyable stocks on the market and that money managers are staying out of these sectors.
Novartis CEO calls for fixing 'distortions' in health-care system ahead of slate of drug launches,"12:55  PM ET Thu, 23 May 2019","""I can't remember a time at Novartis where year after year after year we have these significant medicines getting launched,"" CEO Vasant Narasimhan says."
Jim Cramer: Any US-China trade deal will send the market into an 'epic rebound'," 7:01  PM ET Tue, 21 May 2019","As of Tuesday, an imminent deal seems unlikely, with both countries refusing to compromise, Cramer said."
Cramer Remix: Be very careful with Luckin Coffee's IPO," 9:32  PM ET Mon, 20 May 2019","Jim Cramer examines Luckin Coffee, the latest Chinese company to hit the tape."
Cramer's lightning round: I feel bad if you own Intrexon — It's a loser," 7:21  AM ET Tue, 21 May 2019",Jim Cramer takes calls and delivers thoughts about viewers' stock picks of the day.
,,
Cramer: Health care stocks are rising on hopes Biden will snag the 2020 Democratic nomination," 7:46  AM ET Tue, 21 May 2019","""Unlike Bernie Sanders or Elizabeth Warren or Kamala Harris, Biden's against 'Medicare for All,'"" the ""Mad Money"" host says."
Jim Cramer reveals his top social media stocks," 6:58  PM ET Mon, 20 May 2019","Jim Cramer ranks the stocks of Twitter, Snap, Pinterest and Facebook."
